CMDLINE /home/aryan/projects_linux/WLASL_USING_MEDIAPIPE_ND_ML/ExtractLandmarks/.venv/bin/python3 extract_all_landmarks.py
MEM 760.835938 1773070054.8438
MEM 760.835938 1773070054.9441
MEM 760.835938 1773070055.0443
MEM 760.835938 1773070055.1446
MEM 760.835938 1773070055.2448
MEM 760.835938 1773070055.3451
MEM 760.843750 1773070055.4454
MEM 760.843750 1773070055.5456
MEM 760.843750 1773070055.6459
MEM 760.843750 1773070055.7461
MEM 760.843750 1773070055.8463
MEM 760.843750 1773070055.9466
MEM 760.843750 1773070056.0468
MEM 760.843750 1773070056.1470
MEM 760.843750 1773070056.2473
MEM 760.843750 1773070056.3476
MEM 760.843750 1773070056.4478
MEM 760.843750 1773070056.5480
MEM 760.843750 1773070056.6483
MEM 760.843750 1773070056.7485
MEM 760.843750 1773070056.8487
MEM 760.843750 1773070056.9490
MEM 760.843750 1773070057.0493
MEM 760.843750 1773070057.1496
MEM 760.843750 1773070057.2498
MEM 760.843750 1773070057.3501
MEM 760.843750 1773070057.4503
MEM 760.843750 1773070057.5506
MEM 0.000000 1773070057.6507
