CMDLINE /home/aryan/projects_linux/WLASL_USING_MEDIAPIPE_ND_ML/ExtractLandmarks/.venv/bin/python3 extract_all_landmarks.py
MEM 556.449219 1773069204.9222
MEM 556.453125 1773069205.0224
MEM 556.867188 1773069205.1228
MEM 556.867188 1773069205.2230
MEM 556.867188 1773069205.3233
MEM 556.867188 1773069205.4236
MEM 556.871094 1773069205.5238
MEM 556.871094 1773069205.6241
MEM 556.871094 1773069205.7243
MEM 556.871094 1773069205.8245
MEM 556.871094 1773069205.9249
MEM 556.988281 1773069206.0252
MEM 556.988281 1773069206.1256
MEM 556.988281 1773069206.2259
MEM 556.988281 1773069206.3263
MEM 556.988281 1773069206.4266
MEM 556.988281 1773069206.5269
MEM 557.234375 1773069206.6272
MEM 557.234375 1773069206.7275
MEM 557.234375 1773069206.8279
MEM 557.234375 1773069206.9282
MEM 557.484375 1773069207.0284
MEM 557.484375 1773069207.1286
MEM 557.484375 1773069207.2290
MEM 557.484375 1773069207.3292
MEM 557.484375 1773069207.4295
MEM 557.484375 1773069207.5299
MEM 557.484375 1773069207.6301
MEM 557.484375 1773069207.7304
MEM 532.222656 1773069207.8308
MEM 717.687500 1773069207.9311
MEM 719.988281 1773069208.0313
MEM 720.003906 1773069208.1316
MEM 720.019531 1773069208.2318
MEM 720.027344 1773069208.3320
MEM 720.035156 1773069208.4322
MEM 720.035156 1773069208.5325
MEM 720.968750 1773069208.6327
MEM 721.886719 1773069208.7330
MEM 721.894531 1773069208.8332
MEM 722.464844 1773069208.9334
MEM 722.476562 1773069209.0337
MEM 722.476562 1773069209.1339
MEM 722.476562 1773069209.2342
MEM 722.484375 1773069209.3344
MEM 722.500000 1773069209.4347
MEM 722.500000 1773069209.5349
MEM 722.500000 1773069209.6352
MEM 722.507812 1773069209.7354
MEM 722.507812 1773069209.8357
MEM 722.566406 1773069209.9359
MEM 722.566406 1773069210.0362
MEM 722.566406 1773069210.1365
MEM 722.824219 1773069210.2367
MEM 723.250000 1773069210.3370
MEM 723.250000 1773069210.4373
MEM 724.078125 1773069210.5377
MEM 724.085938 1773069210.6381
MEM 724.085938 1773069210.7384
MEM 724.085938 1773069210.8386
MEM 724.085938 1773069210.9389
MEM 724.085938 1773069211.0394
MEM 724.085938 1773069211.1396
MEM 724.085938 1773069211.2398
MEM 724.093750 1773069211.3401
MEM 724.125000 1773069211.4406
MEM 724.125000 1773069211.5408
MEM 724.125000 1773069211.6410
MEM 724.128906 1773069211.7413
MEM 724.378906 1773069211.8415
MEM 724.378906 1773069211.9419
MEM 724.378906 1773069212.0421
MEM 724.378906 1773069212.1424
MEM 724.378906 1773069212.2426
MEM 724.378906 1773069212.3428
MEM 724.378906 1773069212.4430
MEM 724.378906 1773069212.5432
MEM 724.378906 1773069212.6435
MEM 724.378906 1773069212.7437
MEM 724.378906 1773069212.8439
MEM 724.378906 1773069212.9442
MEM 724.675781 1773069213.0444
MEM 724.675781 1773069213.1447
MEM 724.675781 1773069213.2449
MEM 724.675781 1773069213.3452
MEM 724.675781 1773069213.4454
MEM 724.675781 1773069213.5457
MEM 724.675781 1773069213.6459
MEM 724.675781 1773069213.7462
MEM 724.675781 1773069213.8464
MEM 724.675781 1773069213.9467
MEM 724.675781 1773069214.0469
MEM 724.675781 1773069214.1471
MEM 724.675781 1773069214.2474
MEM 724.675781 1773069214.3477
MEM 724.675781 1773069214.4479
MEM 724.675781 1773069214.5484
MEM 724.675781 1773069214.6487
MEM 724.675781 1773069214.7489
MEM 724.675781 1773069214.8491
MEM 724.675781 1773069214.9493
MEM 724.675781 1773069215.0496
MEM 724.675781 1773069215.1498
MEM 724.675781 1773069215.2501
MEM 724.675781 1773069215.3503
MEM 724.675781 1773069215.4506
MEM 724.925781 1773069215.8427
MEM 724.925781 1773069215.9430
MEM 724.925781 1773069216.0432
MEM 724.925781 1773069216.1434
MEM 724.925781 1773069216.2437
MEM 724.925781 1773069216.3440
MEM 687.417969 1773069216.4442
